datadate,AGG,VTI
2021-08-09,-0.00181362,-0.00039322
2021-08-10,-0.001297816,0.000655625
2021-08-11,0.000952964,0.00196572
2021-08-12,8.65686E-05,0.002790127
2021-08-13,0.003634774,0.000565123
2021-08-16,0.000517354,0.0003911
2021-08-17,-0.00077563,-0.007427061
2021-08-18,8.62041E-05,-0.009976803
2021-08-19,0.001724921,-0.000751373
2021-08-20,8.6114E-05,0.008979117
2021-08-23,0,0.009688337
2021-08-24,-0.001463549,0.003560229
2021-08-25,-0.001896726,0.002855428
2021-08-26,8.63966E-05,-0.006686812
2021-08-27,0.00276386,0.010770882
2021-08-30,0.001119767,0.003781227
2021-08-31,-0.001462667,-0.001883491
2021-09-01,0.000322228,0.001758389
2021-09-02,0.001035131,0.00338211
2021-09-03,-0.001723435,-0.000341348
2021-09-07,-0.002675853,-0.004310873
2021-09-08,0.001644473,-0.002357695
2021-09-09,0.003197054,-0.003480417
2021-09-10,-0.001981014,-0.007933754
2021-09-13,0.001294502,0.002260102
2021-09-14,0.002241011,-0.006027751
2021-09-15,-0.000945998,0.00824571
2021-09-16,-0.001721589,-0.000908727
2021-09-17,-0.000862279,-0.0080125
2021-09-20,0.001898624,-0.017333155
2021-09-21,0.000430727,-8.88802E-05
2021-09-22,0.00034442,0.010086666
2021-09-23,-0.004906178,0.012185417
2021-09-24,-0.001729928,0.001191721
2021-09-27,-0.001386393,-0.002177321
2021-09-28,-0.004164888,-0.020947905
2021-09-29,0.000697062,0.000668669
2021-09-30,-0.000174111,-0.01082457
2021-10-01,0.003045277,0.013780049
2021-10-04,-0.000695668,-0.015058633
2021-10-05,-0.002349431,0.009335712
2021-10-06,0.00043607,0.004155463
2021-10-07,-0.002789884,0.009611551
2021-10-08,-0.002185697,-0.002203711
2021-10-11,-0.001577152,-0.007199986
2021-10-12,0.003685878,-0.000711819
2021-10-13,0.002273275,0.004541358
2021-10-14,0.001919229,0.016620867
2021-10-15,-0.002437952,0.005929288
2021-10-18,-0.000698279,0.003640669
2021-10-19,-0.002882297,0.007297954
2021-10-20,-0.000700787,0.003901242
2021-10-21,-0.002103835,0.002733055
2021-10-22,0.001932548,-0.00191643
2021-10-25,0.00096441,0.006144403
2021-10-26,0.001839354,-0.000381664
2021-10-27,0.003322302,-0.00683043
2021-10-28,-0.00078428,0.010679197
2021-10-29,-0.00026161,0.001310218
2021-11-01,-0.000614602,0.004980763
2021-11-02,0.002010695,0.003108091
2021-11-03,-0.00200666,0.007076173
2021-11-04,0.003321945,0.003783421
2021-11-05,0.003920925,0.003852081
2021-11-08,-0.001822592,0.001650412
2021-11-09,0.002782364,-0.002883494
2021-11-10,-0.00676319,-0.009832294
2021-11-11,-0.001833319,0.001209982
2021-11-12,-0.000174888,0.007417589
2021-11-15,-0.003673882,0
2021-11-16,-0.000351193,0.004301937
2021-11-17,0.002371304,-0.004118786
2021-11-18,0.000876247,0.001571632
2021-11-19,0.001925883,-0.002849248
2021-11-22,-0.004805552,-0.004803663
2021-11-23,-0.003950874,0.000332834
2021-11-24,0.002291777,0.003369438
2021-11-26,0.007123363,-0.021640899
2021-11-29,0.000523971,0.009407183
2021-11-30,0.001658185,-0.019982409
2021-12-01,0.00018982,-0.014092925
2021-12-02,-0.000174445,0.016249523
2021-12-03,0.004013604,-0.011586112
2021-12-06,-0.003476158,0.012846582
2021-12-07,-0.001569725,0.021395603
2021-12-08,-0.002620276,0.004306555
2021-12-09,8.75252E-05,-0.009533694
2021-12-10,0.000262753,0.006809277
2021-12-13,0.003501653,-0.009101126
2021-12-14,-0.001919162,-0.007499468
2021-12-15,-0.000786679,0.015409388
2021-12-16,0.00136934,-0.011203983
2021-12-17,0.001224199,-0.004566218
2021-12-20,-0.0014847,-0.014058773
2021-12-21,-0.00078723,0.019601032
2021-12-22,0.000875337,0.009886816
2021-12-23,-0.001224413,0.006903162
2021-12-27,0.00052544,0.013085173
2021-12-28,-0.000437625,-0.002057952
2021-12-29,-0.00297694,0.000577412
2021-12-30,0.002195486,-0.001607582
2021-12-31,-0.000350516,-0.003179077
2022-01-03,-0.006837296,0.006336973
2022-01-04,-8.82801E-05,-0.001893266
2022-01-05,-0.003089403,-0.021689804
2022-01-06,-0.001062535,-0.000252887
2022-01-07,-0.002925029,-0.004553319
2022-01-10,-0.000888954,-0.001736494
2022-01-11,0.001868485,0.009970327
2022-01-12,0,0.001554275
2022-01-13,0.00177624,-0.014638057
2022-01-14,-0.005585149,0.000383142
2022-01-18,-0.00606223,-0.019445185
2022-01-19,0.002152709,-0.010501185
2022-01-20,0.000536987,-0.011665148
2022-01-21,0.003935973,-0.019789642
2022-01-24,-0.001158379,0.006427949
2022-01-25,-0.000981272,-0.013988218
2022-01-26,-0.005625478,-0.003877411
2022-01-27,0.003322582,-0.007418579
2022-01-28,0.00071596,0.024636662
2022-01-31,-8.93883E-05,0.021252651
2022-02-01,-0.000344567,0.007627511
2022-02-02,0.001075293,0.006607201
2022-02-03,-0.004027968,-0.023777444
2022-02-04,-0.006290976,0.006634631
2022-02-07,0.000904391,-0.002521375
2022-02-08,-0.003072164,0.009179633
2022-02-09,0.000634457,0.01625872
2022-02-10,-0.009239169,-0.016949877
2022-02-11,0.006582567,-0.019397421
2022-02-14,-0.005812892,-0.003678153
2022-02-15,-0.001644439,0.017783236
2022-02-16,0.001189649,0.000928878
2022-02-17,0.002102145,-0.022715218
2022-02-18,0.002097805,-0.008003999
2022-02-22,-0.001092225,-0.011487392
2022-02-23,-0.004464673,-0.01839984
2022-02-24,0.001830468,0.017523235
2022-02-25,0.001004939,0.022254063
2022-02-28,0.007210011,-0.001083987
2022-03-01,0.005623605,-0.015598847
2022-03-02,-0.01200146,0.01896934
2022-03-03,0.003379329,-0.007617771
2022-03-04,0.00400512,-0.009992719
2022-03-07,-0.005802352,-0.03083135
2022-03-08,-0.003556511,-0.005633414
2022-03-09,-0.002104839,0.027755305
2022-03-10,-0.005594283,-0.004493243
2022-03-11,-0.00018442,-0.013587074
2022-03-14,-0.009685481,-0.00985901
2022-03-15,0.00223545,0.020867104
2022-03-16,0.000743511,0.025014004
2022-03-17,0.001671622,0.013385551
2022-03-18,0.002225087,0.011681153
2022-03-21,-0.009805713,-0.000932549
2022-03-22,-0.002709276,0.012268278
2022-03-23,0.004121803,-0.013576617
2022-03-24,-0.002239066,0.014245534
2022-03-25,-0.007947625,0.004270875
2022-03-28,0.002450539,0.006488715
2022-03-29,0.004701016,0.015158756
2022-03-30,0.00271384,-0.008109845
2022-03-31,-0.000466664,-0.015097791
2022-04-01,-0.001775448,0.003997029
2022-04-04,0.000843057,0.008487192
2022-04-05,-0.010108519,-0.014619167
2022-04-06,-0.00255299,-0.011490208
2022-04-07,-0.002180261,0.003785544
2022-04-08,-0.005035139,-0.003105714
2022-04-11,-0.004296807,-0.015621566
2022-04-12,0.003164575,-0.003074386
2022-04-13,0.002007447,0.013106573
2022-04-14,-0.008109125,-0.012176021
2022-04-18,-0.003077808,-0.00172205
2022-04-19,-0.006078195,0.017613169
2022-04-20,0.005727082,-0.001293631
2022-04-21,-0.005501396,-0.01634806
2022-04-22,-0.000970482,-0.027245482
2022-04-25,0.006702883,0.005461666
2022-04-26,0.003087906,-0.028506428
2022-04-27,-0.004040387,0.001959396
2022-04-28,-0.00038637,0.024372797
2022-04-29,-0.00599087,-0.036736973
2022-05-02,-0.005430869,0.007540591
2022-05-03,0.002252065,0.004749521
2022-05-04,0.006447793,0.029317742
2022-05-05,-0.009900958,-0.036879029
2022-05-06,-0.004215689,-0.008043532
2022-05-09,0.004922714,-0.035445511
2022-05-10,0.003037107,0.002013638
2022-05-11,0.00371171,-0.018085938
2022-05-12,0.001848918,0.001074478
2022-05-13,-0.004273869,0.026781101
2022-05-16,0.002243642,-0.004927776
2022-05-17,-0.005450629,0.021359557
2022-05-18,0.004012488,-0.039132092
2022-05-19,0.002534381,-0.004434452
2022-05-20,0.003014149,0
2022-05-23,-0.003295889,0.017100124
2022-05-24,0.007683339,-0.010017142
2022-05-25,0.004150182,0.011135417
2022-05-26,-0.000768953,0.02046662
2022-05-27,0.001635227,0.025329005
2022-05-31,-0.006338193,-0.00821842
2022-06-01,-0.004096836,-0.006590427
2022-06-02,0.001263827,0.020390209
2022-06-03,-0.001650628,-0.015967093
2022-06-06,-0.006127186,0.00296347
2022-06-07,0.003816414,0.010850112
2022-06-08,-0.004094347,-0.011212786
2022-06-09,-0.001076748,-0.023939919
2022-06-10,-0.007741312,-0.029690735
2022-06-13,-0.016393479,-0.040833015
2022-06-14,-0.005923658,-0.002827414
2022-06-15,0.011109973,0.014551686
2022-06-16,0.002397342,-0.03490822
2022-06-17,-9.96725E-05,0.003770093
2022-06-21,-0.003986385,0.024222942
2022-06-22,0.008505087,-0.000159432
2022-06-23,0.004167062,0.009031504
2022-06-24,-0.001580832,0.032314368
2022-06-27,-0.004453286,-0.003073959
2022-06-28,0.000397623,-0.020607403
2022-06-29,0.005763134,-0.001679123
2022-06-30,0.004544547,-0.008619781
2022-07-01,0.008316729,0.010550343
2022-07-05,0.00185658,0.003567455
2022-07-06,-0.006729762,0.001986538
2022-07-07,-0.002258403,0.016486689
2022-07-08,-0.003739762,-0.00102652
2022-07-11,0.004642829,-0.012639401
2022-07-12,0.001376592,-0.008638204
2022-07-13,0.003633177,-0.004356736
2022-07-14,-0.003522166,-0.004428492
2022-07-15,0.003927359,0.019434433
2022-07-18,-0.003227402,-0.006908742
2022-07-19,-0.00137362,0.027931854
2022-07-20,-0.000687755,0.008090761
2022-07-21,0.008357079,0.009893527
2022-07-22,0.007800342,-0.01084627
2022-07-25,-0.003676444,0.001364347
2022-07-26,-0.000194254,-0.012363107
2022-07-27,0.00349651,0.026262004
2022-07-28,0.007162194,0.013043887
2022-07-29,9.61189E-05,0.013613153
2022-08-01,0.003463694,-0.002327252
2022-08-02,-0.010265755,-0.005394375
2022-08-03,0.004459084,0.01607541
2022-08-04,0.002412662,-0.000961755
2022-08-05,-0.011167841,-0.000336979
2022-08-08,0.004576003,0.000914881
2022-08-09,-0.002229147,-0.006302004
2022-08-10,0.002525519,0.022802124
2022-08-11,-0.005328897,4.73068E-05
2022-08-12,0.004480802,0.017323
2022-08-15,0.001260641,0.00390805
2022-08-16,-0.001452799,0.002131832
2022-08-17,-0.005916592,-0.008971524
2022-08-18,0.002146563,0.002613148
2022-08-19,-0.00701004,-0.014288408
2022-08-22,-0.004314098,-0.021389106
2022-08-23,-0.000393904,-0.001881692
2022-08-24,-0.002659878,0.00420559
2022-08-25,0.005531462,0.014489238
2022-08-26,-0.001866429,-0.03311979
2022-08-29,-0.004822339,-0.007312193
2022-08-30,0.001285574,-0.011123195
2022-08-31,-0.005333343,-0.007348904
2022-09-01,-0.00432446,0.000604327
2022-09-02,0.002897981,-0.009915371
2022-09-06,-0.009366306,-0.004066916
2022-09-07,0.006940278,0.018477848
2022-09-08,-0.003196481,0.007918618
2022-09-09,-0.000100232,0.016607808
2022-09-12,-0.001503323,0.010760562
2022-09-13,-0.005620772,-0.04297116
2022-09-14,0.001312176,0.003893356
2022-09-15,-0.003024148,-0.010677924
2022-09-16,-0.000707783,-0.009113091
2022-09-19,-0.001517773,0.007090323
2022-09-20,-0.004458881,-0.011632054
2022-09-21,0.00315559,-0.017085623
2022-09-22,-0.010654521,-0.011185826
2022-09-23,-0.003076954,-0.017178282
2022-09-26,-0.012860083,-0.010962711
2022-09-27,-0.004273018,-0.001481586
2022-09-28,0.016118912,0.021047436
2022-09-29,-0.005253421,-0.020775029
2022-09-30,-0.002381727,-0.013575911
2022-10-03,0.008102723,0.025408132
2022-10-04,0.002682845,0.032114349
2022-10-05,-0.005248477,-0.001895339
2022-10-06,-0.003931356,-0.009547408
2022-10-07,-0.005297073,-0.028598873
2022-10-10,-0.004489927,-0.007949545
